Incident Description,Risk Level
"Gunmen attacked Badeko village in Kachia LGA, Kaduna State, and abducted at least 10 people.",high
"Bandits attacked Kadadi village in Gada LGA, Sokoto State, and rustled livestock.",high
"Bandits attacked Mawo village in Gada LGA, Sokoto State. A district head was killed and three people were abducted.",high
"Bandits attacked a farm in Gabake Danmaliki, Kaura Namoda LGA, Zamfara State, and killed two farmers.",high
"Bandits attacked a residence in Bulunku village in Gusau LGA, Zamfara State. A man was shot and killed for resisting abduction, and two people including the deceased wife and neighbour were abducted.",high
"Bandits attacked Rimawa community in Goronyo LGA, Sokoto State. At least three people were killed, and an unspecified number of people were abducted.",high
"GSF personnel conducted clearance operations and engaged bandits in a firefight in Yar'Malamai and Hamfudin general areas of Faskari LGA, Katsina State. One bandit was killed, and one locally fabricated gun, two motorcycles, and six mobile phones were recovered.",high
"Bandits abducted at least 30 children fetching firewood in Kasai village, Batsari LGA, Katsina State. The abducted children were rescued later in the day.",high
"Gunmen attacked two vehicles along the Eke-Ebe Road in Udi LGA, Enugu State, and abducted an unspecified number of people. GSF personnel supported by members of the Neighbourhood Security Watch were deployed to the area and rescued the abducted victims.",high
"There was a violent clash between rival armed gangs in Awka, Awka North LGA, Anambra State. At least three people were killed, and six people were injured.",high
"Policemen on clearance operations engaged IPOB/ESN members in a firefight in Akwuke community, Enugu South LGA, Enugu State. Two IPOB/ESN members were killed, an unspecified number of others escaped with gunshot wounds, and weapons were recovered.",high
"Troops of 34 Artillery Brigade on clearance operations destroyed IPOB/ESN camps on the bank of the Njaba River, Mbaitoli LGA, Imo State.",high
"Gunmen attacked a minibus on transit along the East-West Road in Ughelli North LGA, Delta State, and abducted at least nine students. The abducted students were rescued the next day.",high
"Residents of Eti-Osa East LCDA held a protest at the Lagos State House of Assembly complex in Ikeja, Ikeja LGA, Lagos State, over the council chairman’s alleged misappropriation of 1.9-billion-naira.",high
"Residents of Oke-Egan community in the Eleko area of Ajah held a protest at the Lagos House of Assembly complex in Ikeja LGA, Lagos State. The protesters demanded compensation for the demolition of their houses by the Lagos State Government.",high
"Gang members shot and killed a man in the Ijeun Titun area of Abeokuta South LGA, Ogun State.",high
"Soldiers reportedly assaulted, stabbed, and killed a trader in the Mobil area, along the Arakale Road, Akure South LGA, Ondo State. Traders held a protest over the death of their colleague. The protesters barricaded the road resulting in traffic gridlock.",high
"Armed robbers attacked a bus in transit at Oke Ado Junction, Ijebu Mushin, along the ljebu Ode-Ore Benin Expressway, Ijebu Ode LGA, Ogun State. Valuables were stolen from passengers, and the bus was set on fire.",high
"Unidentified armed men attacked and vandalized a vehicle belonging to a lawmaker along the Oba Adesida Road in Akure South LGA, Ondo State. No further details.",high
"Bandits abducted an unspecified number of worshippers observing the Tahajjud prayer time in a mosque located behind the Nigerian Television Authority offices, in the Samaru area, Gusau LGA, Zamfara State.",high
"Bandits blocked the Danbaza-Fangaltama axis of the Gusau-Sokoto Road in Maradun LGA, Zamfara State. One person was killed, and an unspecified number of travellers including an LGA WASH coordinator were abducted. The LGA WASH coordinator was later killed.",high
"Bandits attacked Dagarawa village in Dutsin Ma LGA, Katsina State. One person was killed, and one person was injured.",high
"Bandits abducted three siblings in the Samunaka area, behind the mobile police base in Gusau town, Gusau LGA, Zamfara State.",high
"Youths looted food supplies from the Kebbi State government warehouse, private warehouses, and shops in the Bayan Kara area of Birnin Kebbi, Birnin Kebbi LGA, Kebbi State. GSF personnel were deployed to the area and fired shots to disperse the youths. One person was reportedly killed.",high
"A mob assaulted and killed two suspected motorcycle thieves in Gudaba, Kuje Area Council, Abuja.",high
"Gunmen attacked Kikumi community in Kawu ward, Bwari Area Council, Abuja, and abducted three people.",high
"Armed robbers attacked Gudaba community in Kuje Area Council, Abuja. Residents were mobilized to the area and engaged the robbers in a violent clash. Two robbers were killed, and another was injured.",high
"Supporters of the National Chairman of the Labour Party (LP) held a protest at the venue of the Nigeria Labour Congress (NLC) Stakeholders Meeting in AMAC, Abuja, over the interference of the NLC in the internal affairs of the party. The protesters marched from the party’s new secretariat in Gudu district to the venue of the NLC stakeholders meeting.",high
"Gunmen attempted to abduct the family members of the chairman of Bwari Area Council in Gabwa, Bwari Area Council, Abuja. Policemen were deployed to the area and engaged the gunmen in a firefight. One policeman was shot and injured.",high
"Unidentified armed men set fire to the house of the former Governor of Benue State in Gboko town, Gboko LGA, Benue State. Policemen were deployed to the area to restore order.",high
"Gunmen attacked motorists along the Asaba-Ojantele Road in Apa LGA, Benue State.",high
"Suspected herders attacked Ikpele village in Agatu LGA, Benue State. Four people were killed, and three people were injured.",high
"Suspected herders attacked a village in Gwer West LGA, Benue State, and killed one person.",high
"Gunmen abducted a woman along the Otukpo-Adoka-Oweto Highway, Apa LGA, Benue State.",high
"Gunmen fired indiscriminately at motorists along the Asaba-Ojantele Road in Apa LGA, Benue State. One person was injured.",high
"Armed men abducted a businessman from his residence in Ugba community, Logo LGA, Benue",high
"Bandits ambushed and engaged Yan Sa Kai vigilantes in a firefight in Dogon-Dawa community, Mariga LGA, Niger State. An unspecified number of vigilantes were killed.",high
"Suspected herders fired indiscriminately in Agojeju-Odo community, Omala LGA, Kogi State. At least 25 people were killed, an unspecified number of people were injured, and houses were set on fire.",high
"Suspected armed robbers attacked residents of Aso Pada, Mararaba, Karu LGA, Nasarawa State. Policemen were deployed and engaged the robbers in a firefight. One robber was killed, and others were arrested.",high
"The Nigerian Air Force conducted air raids at ISWAP insurgent hideouts in the border town of Damasak, Mobbar LGA, Borno State. An unspecified number of insurgents were killed.",high
"The Nigerian Air Force conducted air raids at AOG insurgents’ hideouts in Grazah, Gwoza LGA, Borno State. An unspecified number of insurgents were killed.",high
"Troops of 145 battalion supported by the Nigerian Air Force conducted clearance operations at ISWAP insurgents’ hideouts in the vicinity of Bulaburum, Damaturu LGA, Yobe State. One insurgent was killed, one technical (gun-truck) was destroyed, arms and ammunition were recovered.",high
"Insurgents ambushed troops of Operation HADIN KAI in the vicinity of Kamuya and Azare villages, along the Buratai-Buni Gari Road, Biu LGA, Borno State. One GSF personnel was killed, and four others were injured. GSF personnel followed the insurgents and engaged them in a firefight. At least six insurgents were killed, five AK47 rifles and 103 rounds of 7.62mm ammunition were recovered.",high
"Troops of 192 Battalion ambushed and engaged JAS insurgents in a firefight in Pulka, Gwoza LGA, Borno State. An unspecified number of insurgents were killed.",high
"A mob assaulted and killed a mentally ill man for allegedly attacking and injuring a married couple in Jabbi Lamba community, Girei LGA, Adamawa State.",high
"Troops of 144 battalion ambushed and engaged AOG insurgents in a firefight in Madagali LGA, Adamawa State. One insurgent was killed, and others escaped with gunshot wounds.",high
"Members of the Islamic Movement of Nigeria (IMN) held a religious procession to mark International Quds Day at the Railway intersection along Airport Road, Bulumkutu, Maiduguri LGA, Borno State.",high
"Bandits attacked Gada and Karakai communities in Bungudu LGA, Zamfara State. At least 13 people were killed, and four people were injured.",high
"GSF personnel on clearance operations engaged bandits in a firefight at a bandits’ hideout in Dangunu village, Maru LGA, Zamfara State. A bandit leader was killed, and one AK-47 rifle, one AK-47 magazine, 30 rounds of 7.62 mm special, and 150 bags of stolen grains were recovered.",high
"Bandits attempted to attack residents behind the Federal College of Education (Technical) in Gusau town, Gusau LGA, Zamfara State. Personnel of the Nigeria Security and Civil Defence Corps (NSCDC) were deployed to the area, forcing the bandits to retreat.",high
"There was a firefight between two rival bandit gangs in Dumburum village, Zurmi LGA, Zamfara State. At least 40 bandits including two leaders were killed.",high
"Bandits blocked the Gusau-Sokoto Highway in Talata Mafara LGA, Zamfara State. No further details.",high
"Bandits attempted to destroy a Federal Government owned grain silo and abduct the manager of the facility in Dutsin Ma, Dutsin Ma LGA, Katsina State. Agro Rangers of the Nigeria Security and Civil Defense Corps (NSCDC) engaged the bandits in a firefight and repelled the attack.",high
"Members of the Islamic Movement of Nigeria (IMN) held a procession to mark International Quds Day along Ahmadu Bello Way in the vicinity of the Central Market, Kaduna North LGA, Kaduna State. GSF personnel were deployed to the location and fired warning shots to disperse the protesters. Four IMN members were killed, and at least 23 others were injured.",high
"The Nigerian Air Force conducted air raids at bandits’ hideouts in Yartsamiya Village, Matazu LGA, Katsina State. An unspecified number of bandits were killed.",high
"Residents killed a suspected bandit’s informant in Yankaba community, Kaura Namoda LGA, Zamfara State.",high
"Bandits attacked Tuge community in Musawa LGA, Katsina State. Three people were killed, and four people were abducted.",high
"Gunmen attacked a police checkpoint at Ishieke Junction along the Abakaliki-Enugu Highway in Abakaliki LGA, Ebonyi State. One policeman was shot and killed, another was abducted, and an operational van was set on fire. The attack resulted in a clearance operation in the area by GSF operatives.",high
"Gunmen fired indiscriminately along the Umulolo-Okigwe-Arondizuogu Road in Okigwe LGA, Imo State. No further details.",high
"There was a violent clash between rival armed gangs at the UNIZIK temporary site junction in Awka South LGA, Anambra State. One person was killed.",high
"Suspected herders attacked Adani community in Uzo Uwani LGA, Enugu State. Two people were killed, and an unspecified number of people were injured.",high
"There was a violent clash between rival armed gangs at Eke Awka market in Awka South LGA, Anambra State. At least three people were killed.",high
"There was a violent clash between the Black Axe and Klansmen cult gangs at Ifa Atai in Eket LGA, Akwa Ibom State. One person was killed.",high
"Gunmen killed a member of Diobu Vigilante Group at Obidanso Waterfront, Mile 1 Diobu, Port Harcourt LGA, Rivers State.",high
"Residents of Urban Prime Two Estate in Abraham Adesanya, Ajah, Eti-Osa LGA, Lagos State, held a protest over the alleged exploitation and inconsiderate actions of estate developers, who are alleged to have cut off the water supply to residents for nearly a week",high
"Residents of Okun-Ajah community held a protest at the State House of Assembly complex in Alausa, Ikeja LGA, Lagos State, over the plan to demolish their properties for the proposed Lagos-Calabar Coastal Road project. The protesters called on the State Government to follow due process, as their buildings did not encroach on the Right of Way (RoW) of the Coastal Road alignment.",high
"Members of the Guardian of Democracy and Development Initiative (GoDDI) held a protest at the national secretariat of the All Progressives Congress (APC) in AMAC, Abuja, following a Kano State High Court order suspending the current National Chairman of the APC as a member of the party. The protesters carried placards and called on the National Chairman to adhere to the recent court order in the upcoming Ondo State Governorship election.",high
"A coalition of Civil Society Organizations held a protest over alleged nepotism and favoritism by the 
Chief Justice of Nigeria, following the appointment of his son as a judge of the Federal High Court. The protesters 
marched along the road leading to the Supreme Court in the Three Arms Zone, Garki, AMAC, Abuja. ",high
"Residents of Gwer West LGA held a protest along the Makurdi-Naka Road in Gwer West LGA, Benue State, over the killing of 28 people by herders between 13Apr24 and 15Apr24. The protesters barricaded the road resulting in traffic gridlock.",high
"Suspected herders attacked a community along the Naka-Adoka Road in Gwer West LGA, Benue State. At least six people were killed, and an unspecified number of people were injured.",high
"Students attending the University of Jos (UNIJOS) held a protest at the school gate along the Bauchi 
Road in Jos North LGA, Plateau State, over water scarcity, power outage, poor security, high tuition fees, and poor 
school clinic services. ",high
" Suspected herders attacked Mbar settlement near Bokkos, Bokkos LGA, Plateau State, and 
killed three vigilantes.  ",high
"Suspected herders attacked Gyaluwa village in Jaroa community, Gwer West LGA, Benue State, and killed at least 16 people.",high
"Suspected herders ambushed members of the Benue State Community Volunteer Guards and Livestock 
Guards who escorted a family for a burial ceremony in Mbabwande, Gwer West LGA, Benue State. At least six 
Community Volunteer Guards and Livestock Guards were killed.  ",high
"Suspected herders attacked GSS Kopyal and Baba Rafi in Bokkos LGA, Plateau State. Two people were killed, four people were injured, and cattle were rustled.",high
"Gunmen set fire to houses in Kawel, Bokkos LGA, Plateau State. No further details.",high
"Suspected herders attacked some Internally Displaced Persons (IDPs) in the vicinity of Edikwu Ankpali community, Apa LGA, Benue State, while they were heading to a burial ceremony within the community. One of the IDPs was killed.",high
"Suspected herders attacked Kopnanle village in Mangu LGA, Plateau State, and killed seven people including a clergyman.",high
"Suspected herders attacked Mandung-Mushu in Bokkos LGA, Plateau State. Nine people were killed, and one person was injured.",high
"Gunmen attacked the farm of the former Chief of Staff (CoS) to the Benue State Governor near the Genocide Cemetery along the Mobile Barracks/Welfare Quarters Road in Makurdi LGA, Benue State. The CoS’ wife and maid were abducted. A 100-million-naira ransom was demanded for their release. UPDATE: 16Apr24 – The CoS’ wife and maid were released after an undisclosed amount was paid as ransom.",high
"Unidentified armed youths attacked residents in the Maitumbi area of Minna, Bosso LGA, Niger State. Two people were killed, an unspecified number of people were injured, and houses were looted. Cars, motorcycles, tricycles, and shops were vandalized.",high
"A commercial vehicle drove over an IED deployed by ISWAP insurgents along the Baga Road in Kukawa LGA, Borno State. 10 commuters were killed, and 20 others were injured",high
"Troops of 151 Battalion ambushed and killed one AOG insurgent along the Banki Road in Bama LGA, Borno State.",high
"Six ISWAP insurgents were killed, and three others were injured while deploying an IED at Dogon Gida village, on the road between Kirnowa and Marte in Marte LGA, Borno State.",high
"There was a protest by community members and tricycle riders in the vicinity of Gashua town, Bade LGA, Yobe State, following an accident between a GSF vehicle and a tricycle that resulted in the death of two passengers. GSF personnel fired shots to disperse the protesters, two people were killed by stray bullets. The protesters later destroyed a GSF position near the Gashua bridge and blocked the entrance of the town with their tricycles.",high
"Bandits mounted an Illegal Vehicle Check Point (IVCP) at the Kadauri-Mayanchi axis of the Gusau-Sokoto Highway, Maru LGA, Zamfara State. At least 11 people were abducted and one of the abducted victims was injured while trying to escape.",high
"Bandits attacked Munhaye town in the Sabon Layi area, Faskari LGA, Katsina State. Three people were killed, six people were injured, and 32 others were abducted.",high
"Bandits fired indiscriminately and abducted an unspecified of people in Angwar Danko village, Kakangi constituency, Birnin Gwari LGA, Kaduna State.",high
"An operative of the Nigeria Customs Service (NCS) fired shots while attempting to stop a truck at Gamjin Makaho village along the Katsina-Dankama Road in Kaita LGA, Katsina State. One of the passengers in the truck was shot and injured. The passenger later died from the gunshot wounds. The remaining passengers in the truck assaulted and killed the NCS operative.",high
"Bandits killed one person on a road between Birnin Gwari to Funtua in Funtua LGA, Katsina State.",high
"Bandits abducted at least seven people in Rafi Gora village, Birnin Gwari LGA, Kaduna State. Three of the abducted victims were later killed.",high
"Bandits were sighted in the vicinity of Garin Kano along the Sokoto-Gusau highway in Talata Mafara LGA, Zamfara State. No further details.",high
"Bandits abducted an unspecified number of people in transit along a road between Mayanchi town in Maru LGA and Talata Mafara town in Talata Mafara LGA, Zamfara State.",high
"Bandits attacked the residence of a People’s Democratic Party (PDP) Secretary in Chafe 
town, Chafe LGA, Zamfara State, and killed him.  ",high
"Bandits attacked Gidan Dan Zara village in Zurmi LGA, Zamfara State. At least 60 people were 
abducted, two vehicles and silos were set on fire, and food supplies were looted. ",high
"Bandits attacked Kwalawa village in Birnin Magaji/Kiyaw LGA, Zamfara State. One person was killed and two people were injured.",high
"Bandits attacked Dumfawa village in Zurmi LGA, Zamfara State, and abducted nine people.",high
"The Nigerian Air Force (NAF) conducted air raids at bandit hideouts in the east of Kankara, Kankara LGA, Katsina State. At least 60 bandits were killed, and 30 motorcycles were destroyed.",high
"GSF personnel ambushed and engaged bandits in a firefight in Rafin Sariki village, Giwa LGA, Kaduna State. Two bandits were killed, and firearms were recovered.",high
"A mob assaulted a 16-year-old boy at Kanwa village, Madobi LGA, Kano State, for beheading a six year-old. The teenager later died at the hospital.",high
"GSF personnel conducted clearance operations and engaged bandits in a firefight at their camps in Babban Doka, Gobirawar Challi, and Kabaro general areas in Maru LGA, Zamfara State. At least 12 bandits were killed, and an unspecified number escaped with gunshot wounds. Firearms, 10 motorcycles, and livestock were recovered.",high
"Gunmen in a Toyota Sienna vehicle shot and killed an official of the Anambra Road Traffic Management Agency (ARTMA) during a stop-and-search operation near a motor park in the vicinity of UNIZIK junction, Awka South LGA, Anambra State.",high
"Unidentified armed men shot and killed one person at Aroma Junction in Awka, Awka South LGA, Anambra State.",high
"Students attending the Federal Polytechnic, Oko, Orumba North LGA, Anambra State, held a protest in the campus over the introduction of a compulsory 5,000-naira examination fee by the school management.",high
"Commercial tricycle riders and drivers held a protest in Warri, Warri South LGA, Delta State, over the high daily haulage tickets imposed on them by thugs. Policemen were deployed to the area to restore order. The leader of the protesters was arrested.",high
"Youths, market women, and chiefs of Odoragunshin community held a protest at the Lagos State House of Assembly complex in Alausa, Ikeja LGA, Lagos State, over the non-installation of their monarch nine years after the death of the former king which has resulted in a lingering battle over the throne by two candidates.",high
"Residents of Araromi-Ekiti in Ijero LGA held a protest at the Ekiti State House of Assembly and the 
Governor’s office in Ado-Ekiti, Ado-Ekiti LGA, Ekiti State, over the alleged compromise of the selection process 
of a new traditional ruler for the community.",high
"At least nine armed robbers attacked a hotel in the Alagbado area of Alimosho LGA, Lagos State. Two staff members of the hotel were shot and injured. Policemen were deployed to the area to repel the attack. Two robbers were arrested, and four locally made pistols, one Toyota Corolla car, four mobile phones, one knife, six ATM cards, three wristwatches, three female handbags, and 54,000-naira were recovered.",high
"Suspected gang members attacked five different villages in Ado-Odo LGA, Ogun State. At least five people were injured, and phones, money, motorcycles, and other valuables were stolen.",high
"Suspected members of the Oodua Yoruba Nation Movement dressed in military uniforms attempted to take over the Oyo State House of Assembly complex at the Oyo State Government Secretariat in Agodi, Ibadan North LGA, Oyo State. The members also blocked the Secretariat/Total Garden Road leading to the State Secretariat. GSF personnel supported by Amotekun operatives were deployed to the area to restore order. An unspecified number of the members of the Yoruba Nation Movement were arrested.",high
"A soldier reportedly stabbed and injured a commercial motorcycle rider at a bar in the Itamaga area of Ikorodu LGA, Lagos State, following an altercation. Policemen arrested the soldier.",high
"Armed men attacked the Ilejemeje LGA Secretariat in Eda-Oniyo, Ekiti State, over land disputes between indigenes of Ilejemeje LGA, Ekiti State, and Obbo-Ayegunle in Ekiti LGA, Kwara State. One person was injured, and the building was vandalized.",high
"Lawyers under the aegis of Judicial Watchdogs held a protest at the Supreme Court complex around the Three Arms Zone, AMAC, Abuja, over the attempted arrest of the former Governor of Kogi State by the Economic and Financial Crimes Commission (EFCC).",high
"Gunmen attacked Leisure Court Estate Iddo in AMAC, Abuja. A security guard was shot and killed, and two people were abducted.",high
"Policemen from Nyanya, Apo, Kubwa, Wuye, Utako, Mabushi, Karmo, Trademore and Karshi Divisions conducted clearance operations on criminal hideouts in their areas of responsibility, AMAC, Abuja. Six suspected criminals were arrested, and illicit drugs were seized.",high
"Gunmen attacked residents at the New Jerusalem Estate in Dutse, Bwari Area Council, Abuja. The gunmen entered the community through the hilly area of Mpape. At least six people including a woman, three men, and two children were abducted, and the mother of the children was assaulted and injured. UPDATE: 21Apr24 – One of the children was later found.",high
"A man with a machete attacked children in Big Sheda village, Kwali Area Council, Abuja. One child was killed, and two other children were injured. The man was later arrested.",high
"Bandits riding on motorcycles attacked and fired indiscriminately at a military base and a palace in Allawa town, Shiroro LGA, Niger State. The assailants stole valuables including cash and food supplies.",high
"Unidentified armed men vandalized four power station towers along the Jos-Gombe 330kVA transmission in Jos North LGA, Plateau State.",high
"A soldier fired shots to celebrate his birthday in Marish community, Bokkos LGA, Plateau State. One person was shot and killed by a stray bullet.",high
"Suspected herders killed a motorcyclist in the Entekpa council ward of Otukpo LGA, Benue State.",high
"Suspected herders killed two people in Udabi community, Otukpo LGA, Benue State.",high
"Bandits mounted on motorcycles fired indiscriminately in Roro, Karaga, and Rumace communities, Bassa Ward, Shiroro LGA, Niger State. Three people including a hunter and two farmers were killed, and an unspecified number of people were abducted. Food supplies, houses, vehicles, and a market were set on fire. Soldiers supported by vigilantes were deployed to the area and engaged the bandits in a firefight. At least eight people including six soldiers and two vigilantes were killed, and a GSF personnel was abducted.",high
"Women held a protest at the Bokkos LGA secretariat in Bokkos LGA, Plateau State, over increased attacks in their communities by suspected herders.",high
"Students of the Plateau State University held a protest along the Jos-Bokkos Road in Bokkos LGA, Plateau State, following the killing of one student by herders in Chikam community on 18Apr24. The protest was to draw the attention of the State Government to the killing. GSF personnel were deployed to the area and fired shots to disperse the protesters. One of the protesters was shot and killed by a stray bullet.",high
"A mob lynched two suspected motorcycle thieves in the Nyon area, Makurdi LGA, Benue State.",high
"GSF personnel engaged gunmen in a firefight in Ajaka village, Igalamela/Odolu LGA, Kogi State. One gunman was shot and killed.",high
"A boy mistakenly shot and killed his brother with a Dane gun in the vicinity of Nukkai, Jalingo Metropolis, Jalingo LGA, Taraba State.",high
"JAS insurgents attempted to abduct civilians who went to fetch firewood along the Dikwa Maiduguri Road in Dikwa LGA, Borno State. The insurgents retreated upon sighting GSF personnel.",high
"Unidentified armed men abducted a boy from his residence in Buni Yadi town, Gujba LGA, Yobe State. His corpse was later found in a neighboring compound.",high
"Gunmen killed two people in Gbuo village, Akate ward, Donga LGA, Taraba State.",high
"ISWAP insurgents killed three male IDPs who went in search of firewood in the vicinity of Bulamalumbe and Maleri villages, Gamboru, Ngala LGA, Borno State.",high
"ISWAP insurgents attempted to attack troops of Sector 4 of the MNJTF at Lada (a border town between Nigeria and Niger Republic) in Mobbar LGA, Borno State. GSF personnel repelled the attack. GSF personnel later trailed the insurgents to Zarri and Mala Alide villages. The Air Component of Operation HADIN KAI supported by the Nigerien Air Force conducted air raids at insurgents’ camps in the villages. An unspecified number of insurgents were killed.",high
"JAS insurgents attacked three hunters returning from a hunting expedition in Dikwa town, Dikwa LGA, Borno State. One of the hunters was killed, and the two others were abducted. One of the abducted victims later escaped.",high
"GSF personnel on clearance operations engaged AOG insurgents in a firefight in Kana village, Biu LGA, Borno State. Two AOG insurgents were killed, and two AK-47 rifles, one motorcycle, and six bicycles were recovered.",high
"Bandits were sighted around Mayanchi along the Sokoto-Gusau Road, Maru LGA, Zamfara State. No further details.",high
"Bandits attacked Maru town, Maru LGA, Zamfara State. One person was killed, and three people were abducted",high
"Bandits attacked Zurmi town, Zurmi LGA, Zamfara State. At least three people were killed, two people were abducted, and a telecom mast belonging to a private telecom company was vandalized.",high
"Bandits mounted an Illegal Vehicle Check Point (IVCP) in the Garin Kano axis of the Sokoto Gusau Highway, Talata Mafara LGA, Zamfara State, and abducted at least nine people.",high
"Bandits dressed in women’s clothes attacked Dauran town in Zurmi LGA, Zamfara State, and abducted five people.",high
"Bandits rustled an unspecified number of cattle from Gada LGA, Sokoto State. Vigilantes ambushed the bandits resulting in a firefight while they were crossing into Kubuta and Gudumi villages in Goronyo LGA. At least 12 bandits were killed.",high
"Bandits attacked Ussa Piti village in Garu Mari ward, Lere LGA, Kaduna State, and abducted at least four people. A 3-million-naira ransom was demanded for their release.",high
"Bandits attacked residents of the Low-cost settlement in Green House, Chafe town, Chafe LGA, Zamfara State, and abducted a woman and her daughter.",high
"Bandits attacked Fegin Baza settlement in Chafe Central Ward, Chafe LGA, Zamfara State. GSF personnel supported by vigilantes were deployed to the area and engaged the bandits in a firefight until they withdrew.",high
"Bandits attacked Unguwan Habuja community in Kakangi Ward, Birnin Gwari LGA, Kaduna State. Two people, including the leader of the Kakangi Ward vigilantes were killed, and eight people were abducted.",high
"Two bandits ambushed a vehicle and abducted a bride-to-be, her parents, and two relatives along the Talata Mafara-Gusau Highway in Talata Mafara LGA, Zamfara State. The abducted victims overpowered the bandits while trekking to a bush and killed one of them while the other escaped. Two rifles were recovered and handed over to GSF personnel at a nearby checkpoint.",high
"Bandits attacked Gundunbul village in Gada LGA, Sokoto State. An unspecified number of people were abducted, and cattle were rustled. GSF personnel were deployed to the area and engaged the bandits in a firefight. At least nine bandits were killed.",high
"Bandits attacked Unguwan Topa village in Kankara LGA, Katsina State. One person was killed, at least six people were injured, and household items were looted.",high
"Bandits attacked Gatakawa village in Kankara LGA, Katsina State. Five people were killed, four people were injured, and an unspecified number of people including married women were abducted.",high
"Yan Sakai vigilantes supported by hunters engaged bandits in a firefight in Jadawa community, Birnin Magaji/Kiyaw LGA, Zamfara State. At least two bandits were killed.",high
"Bandits attacked Maraban Agyaro village in Kudan LGA, Kaduna State, and killed three vigilantes.",high
"Three groups of bandits, including one group dressed in women’s clothes, hijacked a vehicle conveying traders to Chafe town along the Gusau-Chafe Road. Another group mounted on motorcycles attacked from the Yan Kuzo Road. The third group attacked via the Funtua-Chafe Road firing indiscriminately at Chafe town, Chafe LGA, Zamfara State. At least three people were killed, and five people were injured. Troops of Operation HADARIN DAJI supported by the Nigerian Air Force (NAF) and Zamfara State Community Protection Guards were deployed to the area and engaged the bandits in a firefight. One bandit was killed, and four bandits were arrested. Residents held a protest at a police station in the community over the police to prevent the attack. Policemen were deployed to the area to disperse the protesters.",high
"Bandits engaged vigilantes in a firefight in Mai Marahu village, Maru LGA, Zamfara State. No further details.",high
"Bandits attacked Unguwar Mai Kawo in Kankara LGA, Katsina State. Five people including four children were killed, and an unspecified number of people were injured and abducted.",high
"Bandits attacked Dumfawa community in Zurmi LGA, Zamfara State. One person was killed, and an unspecified number of women and children were abducted.",high
"Bandits attacked Gidan Sale in Isa LGA, Sokoto State. An unspecified number of people were injured, eight people were abducted, and houses, vehicles, and properties were set on fire.",high
